Trade #,Entry Time,Exit Time,Type,Strike,Entry Spot,Exit Spot,Option Buy Price (RS),Option Sell Price (RS),Qty,Trade PnL (RS),Return (%),Reason,Capital (RS)
1,2026-01-01 13:15,2026-01-01 14:15,CE,26100,26168.0,26143.0,200.77,186.24,65,-944.45,-7.24,STOP LOSS HIT (-25.0 Spot Pts),14055.55
2,2026-01-02 09:15,2026-01-02 11:15,CE,26200,26254.65,26262.1,193.55,197.9,65,282.75,2.25,TRAILING SL HIT (+7.4 Spot Pts),14338.3
3,2026-01-02 11:15,2026-01-02 12:15,CE,26200,26287.6,26277.25,213.21,206.91,65,-409.5,-2.95,STOP LOSS HIT (-10.3 Spot Pts),13928.8
4,2026-01-02 12:15,2026-01-02 14:15,CE,26200,26302.75,26296.8,222.61,218.89,65,-241.8,-1.67,STOP LOSS HIT (-5.9 Spot Pts),13687.0
5,2026-01-02 14:15,2026-01-05 09:15,CE,26200,26324.75,26315.4,236.66,230.63,65,-391.95,-2.55,STOP LOSS HIT (-9.3 Spot Pts),13295.05
6,2026-01-05 09:15,2026-01-05 10:15,CE,26200,26339.15,26337.85,246.11,245.25,65,-55.9,-0.35,STOP LOSS HIT (-1.3 Spot Pts),13239.15
7,2026-01-05 10:15,2026-01-05 11:15,CE,26300,26359.25,26326.35,196.84,178.17,65,-1213.55,-9.48,STOP LOSS HIT (-32.9 Spot Pts),12025.6
8,2026-01-05 11:15,2026-01-05 12:15,PE,26400,26333.2,26342.8,189.5,184.12,65,-349.7,-2.84,STOP LOSS HIT (-9.6 Spot Pts),11675.9
9,2026-01-05 12:15,2026-01-05 13:15,PE,26400,26308.75,26245.35,203.63,243.05,65,2562.3,19.36,TRAILING SL HIT (+63.4 Spot Pts),14238.2
10,2026-01-05 13:15,2026-01-05 14:15,PE,26300,26226.75,26245.8,192.6,181.88,65,-696.8,-5.57,STOP LOSS HIT (-19.1 Spot Pts),13541.4
11,2026-01-06 11:15,2026-01-06 12:15,PE,26300,26167.65,26185.15,228.18,217.28,65,-708.5,-4.78,STOP LOSS HIT (-17.5 Spot Pts),12832.9
12,2026-01-06 13:15,2026-01-06 14:15,PE,26200,26133.15,26160.55,188.38,173.26,65,-982.8,-8.03,STOP LOSS HIT (-27.4 Spot Pts),11850.1
13,2026-01-07 09:15,2026-01-07 10:15,PE,26300,26167.25,26160.2,228.43,232.92,65,291.85,1.97,TRAILING SL HIT (+7.1 Spot Pts),12141.95
14,2026-01-07 11:15,2026-01-07 12:15,PE,26200,26112.1,26112.5,200.52,200.29,65,-14.95,-0.11,STOP LOSS HIT (-0.4 Spot Pts),12127.0
15,2026-01-07 12:15,2026-01-07 13:15,PE,26200,26102.9,26103.3,205.97,205.73,65,-15.6,-0.12,STOP LOSS HIT (-0.4 Spot Pts),12111.4
16,2026-01-07 14:15,2026-01-08 09:15,CE,26100,26151.8,26118.6,191.28,172.68,65,-1209.0,-9.72,STOP LOSS HIT (-33.2 Spot Pts),10902.4
17,2026-01-08 09:15,2026-01-08 10:15,PE,26200,26061.15,26036.0,231.76,248.13,65,1064.05,7.06,TRAILING SL HIT (+25.2 Spot Pts),11966.45
18,2026-01-08 10:15,2026-01-08 11:15,PE,26100,26003.8,25919.75,204.87,258.5,65,3485.95,26.18,TRAILING SL HIT (+84.1 Spot Pts),15452.4
19,2026-01-08 11:15,2026-01-08 12:15,PE,26000,25933.75,25935.75,186.89,185.76,65,-73.45,-0.6,STOP LOSS HIT (-2.0 Spot Pts),15378.95
20,2026-01-08 14:15,2026-01-09 09:15,PE,26000,25878.05,25853.35,220.0,235.69,65,1019.85,7.13,TRAILING SL HIT (+24.7 Spot Pts),16398.8
21,2026-01-09 09:15,2026-01-09 10:15,PE,26000,25856.6,25834.0,233.59,248.39,65,962.0,6.34,TRAILING SL HIT (+22.6 Spot Pts),17360.8
22,2026-01-09 10:15,2026-01-09 11:15,PE,25900,25799.0,25769.95,206.62,224.53,65,1164.15,8.67,TRAILING SL HIT (+29.1 Spot Pts),18524.95
23,2026-01-09 11:15,2026-01-09 12:15,PE,25800,25739.35,25700.25,182.59,205.3,65,1476.15,12.44,TRAILING SL HIT (+39.1 Spot Pts),20001.1
24,2026-01-09 12:15,2026-01-09 13:15,PE,25800,25691.05,25694.6,210.87,208.71,65,-140.4,-1.02,STOP LOSS HIT (-3.5 Spot Pts),19860.7
25,2026-01-09 13:15,2026-01-09 14:15,PE,25800,25660.15,25658.5,230.22,231.28,65,68.9,0.46,TRAILING SL HIT (+1.7 Spot Pts),19929.6
26,2026-01-12 09:15,2026-01-12 10:15,PE,25700,25556.9,25564.55,231.77,226.86,65,-319.15,-2.12,STOP LOSS HIT (-7.7 Spot Pts),19610.45
27,2026-01-12 12:15,2026-01-12 13:15,CE,25600,25722.3,25722.0,231.51,231.31,65,-13.0,-0.09,STOP LOSS HIT (-0.3 Spot Pts),19597.45
28,2026-01-12 14:15,2026-01-13 09:15,CE,25700,25778.5,25854.0,204.61,253.17,65,3156.4,23.73,TRAILING SL HIT (+75.5 Spot Pts),22753.85
29,2026-01-13 09:15,2026-01-13 10:15,PE,25800,25738.1,25761.1,183.29,170.64,65,-822.25,-6.9,STOP LOSS HIT (-23.0 Spot Pts),21931.6
30,2026-01-13 13:15,2026-01-13 14:15,PE,25700,25636.55,25638.4,183.59,182.55,65,-67.6,-0.57,STOP LOSS HIT (-1.8 Spot Pts),21864.0
31,2026-01-13 14:15,2026-01-13 15:15,CE,25600,25737.4,25714.65,241.43,226.56,65,-966.55,-6.16,STOP LOSS HIT (-22.8 Spot Pts),20897.45
32,2026-01-14 09:15,2026-01-14 10:15,PE,25800,25696.8,25696.35,207.38,207.65,65,17.55,0.13,TRAILING SL HIT (+0.5 Spot Pts),20915.0
33,2026-01-14 11:15,2026-01-14 12:15,CE,25600,25743.35,25745.9,245.4,247.11,65,111.15,0.7,TRAILING SL HIT (+2.6 Spot Pts),21026.15
34,2026-01-14 13:15,2026-01-14 14:15,PE,25800,25663.2,25639.1,228.27,243.94,65,1018.55,6.86,TRAILING SL HIT (+24.1 Spot Pts),22044.7
35,2026-01-16 09:15,2026-01-16 10:15,CE,25700,25783.65,25837.85,207.74,242.32,65,2247.7,16.65,TRAILING SL HIT (+54.2 Spot Pts),24292.4
36,2026-01-16 10:15,2026-01-16 11:15,CE,25700,25812.45,25795.65,225.75,215.15,65,-689.0,-4.7,STOP LOSS HIT (-16.8 Spot Pts),23603.4
37,2026-01-16 12:15,2026-01-16 13:15,PE,25800,25716.55,25697.8,195.64,206.78,65,724.1,5.69,TRAILING SL HIT (+18.8 Spot Pts),24327.5
38,2026-01-16 13:15,2026-01-16 14:15,PE,25800,25688.25,25706.7,212.59,201.45,65,-724.1,-5.24,STOP LOSS HIT (-18.4 Spot Pts),23603.4
39,2026-01-19 09:15,2026-01-19 10:15,PE,25600,25527.9,25529.95,187.93,186.76,65,-76.05,-0.62,STOP LOSS HIT (-2.0 Spot Pts),23527.35
40,2026-01-19 13:15,2026-01-19 14:15,CE,25500,25590.3,25601.3,210.61,217.48,65,446.55,3.26,TRAILING SL HIT (+11.0 Spot Pts),23973.9
41,2026-01-20 09:15,2026-01-20 10:15,PE,25600,25468.7,25481.25,223.67,215.8,65,-511.55,-3.52,STOP LOSS HIT (-12.6 Spot Pts),23462.35
42,2026-01-20 11:15,2026-01-20 12:15,PE,25500,25437.35,25440.6,181.99,180.16,65,-118.95,-1.01,STOP LOSS HIT (-3.2 Spot Pts),23343.4
43,2026-01-20 12:15,2026-01-20 13:15,PE,25500,25415.95,25382.9,194.28,214.22,65,1296.1,10.26,TRAILING SL HIT (+33.0 Spot Pts),24639.5
44,2026-01-20 13:15,2026-01-20 14:15,PE,25500,25360.75,25251.25,228.2,304.34,65,4949.1,33.37,TRAILING SL HIT (+109.5 Spot Pts),29588.6
45,2026-01-20 14:15,2026-01-20 15:15,PE,25300,25217.05,25208.8,192.5,197.37,65,316.55,2.53,TRAILING SL HIT (+8.2 Spot Pts),29905.15
46,2026-01-21 09:15,2026-01-21 10:15,PE,25300,25153.25,24955.2,231.97,378.96,65,9554.35,63.37,TRAILING SL HIT (+198.1 Spot Pts),39459.5
47,2026-01-21 10:15,2026-01-21 11:15,PE,25200,25054.75,25059.45,230.46,227.41,65,-198.25,-1.32,STOP LOSS HIT (-4.7 Spot Pts),39261.25
48,2026-01-21 12:15,2026-01-21 13:15,CE,25100,25237.45,25207.4,238.53,218.93,65,-1274.0,-8.22,STOP LOSS HIT (-30.0 Spot Pts),37987.25
49,2026-01-22 09:15,2026-01-22 10:15,CE,25300,25376.0,25353.55,200.65,187.35,65,-864.5,-6.63,STOP LOSS HIT (-22.4 Spot Pts),37122.75
50,2026-01-22 10:15,2026-01-22 11:15,PE,25300,25215.75,25212.85,193.26,194.97,65,111.15,0.88,TRAILING SL HIT (+2.9 Spot Pts),37233.9
51,2026-01-22 13:15,2026-01-22 14:15,PE,25300,25178.35,25203.5,215.94,200.53,65,-1001.65,-7.14,STOP LOSS HIT (-25.2 Spot Pts),36232.25
52,2026-01-22 14:15,2026-01-22 15:15,CE,25200,25288.55,25297.35,207.71,213.18,65,355.55,2.63,TRAILING SL HIT (+8.8 Spot Pts),36587.8
53,2026-01-23 09:15,2026-01-23 10:15,PE,25400,25281.7,25286.55,214.41,211.4,65,-195.65,-1.4,STOP LOSS HIT (-4.9 Spot Pts),36392.15
54,2026-01-23 11:15,2026-01-23 12:15,PE,25300,25185.2,25215.55,211.68,193.38,65,-1189.5,-8.65,STOP LOSS HIT (-30.4 Spot Pts),35202.65
55,2026-01-23 13:15,2026-01-23 14:15,PE,25200,25063.4,25063.85,224.87,224.58,65,-18.85,-0.13,STOP LOSS HIT (-0.4 Spot Pts),35183.8
56,2026-01-27 09:15,2026-01-27 10:15,CE,25000,25128.45,25149.0,231.98,245.73,65,893.75,5.93,TRAILING SL HIT (+20.6 Spot Pts),36077.55
57,2026-01-27 13:15,2026-01-27 14:15,PE,25100,25034.55,25042.85,181.27,176.6,65,-303.55,-2.58,STOP LOSS HIT (-8.3 Spot Pts),35774.0
58,2026-01-27 14:15,2026-01-27 15:15,CE,25100,25170.4,25211.1,196.06,221.3,65,1640.6,12.87,TRAILING SL HIT (+40.7 Spot Pts),37414.6
59,2026-01-28 09:15,2026-01-28 10:15,CE,25100,25248.1,25295.6,245.7,278.95,65,2161.25,13.53,TRAILING SL HIT (+47.5 Spot Pts),39575.85
60,2026-01-28 12:15,2026-01-28 13:15,PE,25400,25276.25,25223.15,217.81,252.54,65,2257.45,15.95,TRAILING SL HIT (+53.1 Spot Pts),41833.3
61,2026-01-28 13:15,2026-01-28 14:15,PE,25300,25209.05,25236.1,197.22,181.54,65,-1019.2,-7.95,STOP LOSS HIT (-27.0 Spot Pts),40814.1
62,2026-01-28 14:15,2026-01-29 09:15,CE,25200,25329.65,25323.4,233.95,229.85,65,-266.5,-1.75,STOP LOSS HIT (-6.2 Spot Pts),40547.6
63,2026-01-29 09:15,2026-01-29 10:15,PE,25300,25211.65,25202.65,195.68,201.04,65,348.4,2.74,TRAILING SL HIT (+9.0 Spot Pts),40896.0
64,2026-01-29 11:15,2026-01-29 12:15,CE,25200,25280.75,25332.3,202.93,235.7,65,2130.05,16.15,TRAILING SL HIT (+51.6 Spot Pts),43026.05
65,2026-01-29 12:15,2026-01-29 13:15,CE,25300,25353.65,25401.25,187.41,216.24,65,1873.95,15.38,TRAILING SL HIT (+47.6 Spot Pts),44900.0
