Trade #,Entry Time,Exit Time,Type,Strike,Entry Spot,Exit Spot,Option Buy Price (RS),Option Sell Price (RS),Qty,Trade PnL (RS),Return (%),Reason,Capital (RS)
1,2026-08-03 09:15,2026-08-03 15:15,CE,24500,24579.2,24729.2,197.71,300.59,65,6687.2,52.04,TARGET HIT (+150 Pts),21687.2
2,2026-08-04 11:15,2026-08-04 15:15,PE,24600,24511.3,24546.3,191.92,171.79,65,-1308.45,-10.49,FIXED SL HIT (-35 Pts),20378.75
3,2026-08-05 09:15,2026-08-05 10:15,CE,24500,24620.9,24585.9,224.07,201.82,65,-1446.25,-9.93,FIXED SL HIT (-35 Pts),18932.5
4,2026-08-05 12:15,2026-08-05 14:15,PE,24600,24535.05,24570.05,178.12,158.9,65,-1249.3,-10.79,FIXED SL HIT (-35 Pts),17683.2
5,2026-08-05 14:15,2026-08-07 09:15,CE,24500,24572.25,24537.25,193.5,173.06,65,-1328.6,-10.56,FIXED SL HIT (-35 Pts),16354.6
6,2026-08-07 09:15,2026-08-11 10:15,PE,24700,24599.7,24449.7,199.45,301.81,65,6653.4,51.32,TARGET HIT (+150 Pts),23008.0
7,2026-08-12 09:15,2026-08-12 10:15,PE,24500,24365.3,24400.3,219.84,197.96,65,-1422.2,-9.95,FIXED SL HIT (-35 Pts),21585.8
8,2026-08-12 10:15,2026-08-12 14:15,PE,24400,24302.4,24337.4,196.13,175.63,65,-1332.5,-10.45,FIXED SL HIT (-35 Pts),20253.3
9,2026-08-12 14:15,2026-08-13 09:15,CE,24300,24369.3,24334.3,190.5,170.16,65,-1322.1,-10.68,FIXED SL HIT (-35 Pts),18931.2
10,2026-08-13 09:15,2026-08-13 11:15,PE,24400,24343.55,24378.55,172.17,153.27,65,-1228.5,-10.98,FIXED SL HIT (-35 Pts),17702.7
11,2026-08-13 11:15,2026-08-13 12:15,CE,24300,24395.65,24360.65,206.69,185.35,65,-1387.1,-10.32,FIXED SL HIT (-35 Pts),16315.6
12,2026-08-14 09:15,2026-08-14 13:15,PE,24400,24345.45,24380.45,171.11,152.28,65,-1223.95,-11.0,FIXED SL HIT (-35 Pts),15091.65
13,2026-08-14 13:15,2026-08-17 09:15,CE,24300,24383.55,24348.55,199.16,178.28,65,-1357.2,-10.48,FIXED SL HIT (-35 Pts),13734.45
14,2026-08-17 09:15,2026-08-17 12:15,PE,24400,24281.5,24316.5,209.0,187.71,65,-1383.85,-10.19,FIXED SL HIT (-35 Pts),12350.6
15,2026-08-17 12:15,2026-08-17 15:15,CE,24200,24346.35,24311.35,239.31,216.09,65,-1509.3,-9.7,FIXED SL HIT (-35 Pts),10841.3
16,2026-08-18 09:15,2026-08-19 09:15,PE,24300,24220.2,24070.2,184.97,284.65,65,6479.2,53.89,TARGET HIT (+150 Pts),17320.5
17,2026-08-19 09:15,2026-08-20 09:15,PE,24200,24091.8,24126.8,201.48,180.56,65,-1359.8,-10.38,FIXED SL HIT (-35 Pts),15960.7
18,2026-08-20 09:15,2026-08-24 11:15,CE,24100,24221.85,24186.85,222.33,199.98,65,-1452.75,-10.05,FIXED SL HIT (-35 Pts),14507.95
19,2026-08-24 11:15,2026-08-25 14:15,PE,24300,24194.05,24229.05,200.65,179.83,65,-1353.3,-10.38,FIXED SL HIT (-35 Pts),13154.65
20,2026-08-25 14:15,2026-08-26 15:15,CE,24200,24260.15,24225.15,184.43,164.44,65,-1299.35,-10.84,FIXED SL HIT (-35 Pts),11855.3
21,2026-08-27 09:15,2026-08-31 09:15,PE,24300,24183.55,24033.55,207.16,312.33,65,6836.05,50.77,TARGET HIT (+150 Pts),18691.35
22,2026-08-31 09:15,2026-08-31 11:15,PE,24100,24017.85,24052.85,185.21,165.28,65,-1295.45,-10.76,FIXED SL HIT (-35 Pts),17395.9
23,2026-08-31 11:15,2026-08-31 14:15,CE,24000,24055.95,24020.95,180.73,160.88,65,-1290.25,-10.98,FIXED SL HIT (-35 Pts),16105.65
24,2026-09-01 09:15,2026-09-01 10:15,PE,24100,24036.25,24071.25,174.56,155.35,65,-1248.65,-11.0,FIXED SL HIT (-35 Pts),14857.0
25,2026-09-01 10:15,2026-09-01 12:15,CE,24000,24107.05,24072.05,212.13,190.32,65,-1417.65,-10.28,FIXED SL HIT (-35 Pts),13439.35
26,2026-09-01 13:15,2026-09-01 15:15,PE,24100,23965.05,24000.05,217.83,195.87,65,-1427.4,-10.08,FIXED SL HIT (-35 Pts),12011.95
