Trade #,Entry Time,Exit Time,Type,Strike,Entry Spot,Exit Spot,Option Buy Price (RS),Option Sell Price (RS),Qty,Trade PnL (RS),Return (%),Reason,Capital (RS)
1,2025-09-22 09:15,2025-09-22 14:15,PE,25400,25311.45,25161.45,196.36,296.31,65,6496.75,50.9,TARGET HIT (+150 Pts),21496.75
2,2025-09-22 14:15,2025-09-23 09:15,PE,25300,25195.55,25230.55,205.33,184.69,65,-1341.6,-10.05,FIXED SL HIT (-35 Pts),20155.15
3,2025-09-23 09:15,2025-09-23 12:15,PE,25300,25150.9,25185.9,233.5,211.25,65,-1446.25,-9.53,FIXED SL HIT (-35 Pts),18708.9
4,2025-09-23 12:15,2025-09-23 14:15,CE,25100,25197.75,25162.75,212.83,191.51,65,-1385.8,-10.02,FIXED SL HIT (-35 Pts),17323.1
5,2025-09-23 14:15,2025-09-25 09:15,PE,25300,25171.9,25021.9,220.0,325.71,65,6871.15,48.05,TARGET HIT (+150 Pts),24194.25
6,2025-09-25 09:15,2025-09-25 14:15,PE,25100,25031.7,24881.7,182.89,280.09,65,6318.0,53.15,TARGET HIT (+150 Pts),30512.25
7,2025-09-25 14:15,2025-09-26 13:15,PE,25000,24883.3,24733.3,211.19,315.62,65,6787.95,49.45,TARGET HIT (+150 Pts),37300.2
8,2025-09-26 13:15,2025-09-29 09:15,PE,24800,24663.55,24698.55,222.59,200.71,65,-1422.2,-9.83,FIXED SL HIT (-35 Pts),35878.0
9,2025-09-29 09:15,2025-09-29 11:15,CE,24700,24758.4,24723.4,186.48,166.59,65,-1292.85,-10.67,FIXED SL HIT (-35 Pts),34585.15
10,2025-09-29 11:15,2025-09-29 12:15,PE,24700,24641.7,24676.7,174.94,155.98,65,-1232.4,-10.84,FIXED SL HIT (-35 Pts),33352.75
11,2025-09-29 13:15,2025-09-29 14:15,CE,24600,24723.85,24688.85,226.6,204.26,65,-1452.1,-9.86,FIXED SL HIT (-35 Pts),31900.65
12,2025-09-29 14:15,2025-09-29 15:15,PE,24700,24639.65,24674.65,176.09,157.05,65,-1237.6,-10.81,FIXED SL HIT (-35 Pts),30663.05
13,2025-09-30 13:15,2025-10-01 09:15,PE,24700,24623.9,24658.9,185.09,165.45,65,-1276.6,-10.61,FIXED SL HIT (-35 Pts),29386.45
14,2025-10-01 09:15,2025-10-01 11:15,CE,24600,24659.95,24809.95,186.78,286.73,65,6496.75,53.51,TARGET HIT (+150 Pts),35883.2
15,2025-10-01 14:15,2025-10-03 09:15,CE,24700,24822.5,24787.5,226.3,204.03,65,-1447.55,-9.84,FIXED SL HIT (-35 Pts),34435.65
16,2025-10-03 09:15,2025-10-03 11:15,PE,24900,24798.35,24833.35,201.39,180.8,65,-1338.35,-10.22,FIXED SL HIT (-35 Pts),33097.3
17,2025-10-03 14:15,2025-10-06 12:15,CE,24800,24888.5,25038.5,205.25,309.2,65,6756.75,50.65,TARGET HIT (+150 Pts),39854.05
18,2025-10-07 09:15,2025-10-07 10:15,CE,25100,25183.65,25148.65,204.09,183.28,65,-1352.65,-10.2,FIXED SL HIT (-35 Pts),38501.4
19,2025-10-07 14:15,2025-10-08 09:15,PE,25200,25091.0,25126.0,207.55,186.73,65,-1353.3,-10.03,FIXED SL HIT (-35 Pts),37148.1
20,2025-10-08 09:15,2025-10-08 10:15,CE,25000,25149.55,25114.55,246.1,222.92,65,-1506.7,-9.42,FIXED SL HIT (-35 Pts),35641.4
21,2025-10-08 10:15,2025-10-08 12:15,PE,25100,25042.65,25077.65,176.71,157.81,65,-1228.5,-10.7,FIXED SL HIT (-35 Pts),34412.9
22,2025-10-08 12:15,2025-10-08 13:15,CE,25000,25098.05,25063.05,212.42,191.07,65,-1387.75,-10.05,FIXED SL HIT (-35 Pts),33025.15
23,2025-10-09 10:15,2025-10-10 10:15,CE,25100,25152.55,25302.55,185.54,284.0,65,6399.9,53.07,TARGET HIT (+150 Pts),39425.05
24,2025-10-13 09:15,2025-10-13 14:15,PE,25300,25199.25,25234.25,203.09,182.59,65,-1332.5,-10.09,FIXED SL HIT (-35 Pts),38092.55
25,2025-10-14 09:15,2025-10-14 10:15,PE,25300,25196.7,25231.7,204.63,184.04,65,-1338.35,-10.06,FIXED SL HIT (-35 Pts),36754.2
26,2025-10-14 10:15,2025-10-15 09:15,PE,25300,25174.0,25209.0,218.67,197.25,65,-1392.3,-9.8,FIXED SL HIT (-35 Pts),35361.9
27,2025-10-15 09:15,2025-10-16 09:15,CE,25200,25251.25,25401.25,185.4,283.59,65,6382.35,52.96,TARGET HIT (+150 Pts),41744.25
28,2025-10-16 09:15,2025-10-16 13:15,CE,25300,25423.45,25573.45,230.47,338.77,65,7039.5,46.99,TARGET HIT (+150 Pts),48783.75
29,2025-10-16 13:15,2025-10-17 09:15,CE,25500,25551.85,25516.85,187.6,167.99,65,-1274.65,-10.45,FIXED SL HIT (-35 Pts),47509.1
30,2025-10-17 09:15,2025-10-17 13:15,CE,25600,25670.15,25635.15,198.98,178.71,65,-1317.55,-10.19,FIXED SL HIT (-35 Pts),46191.55
31,2025-10-20 09:15,2025-10-20 10:15,CE,25800,25856.55,25821.55,192.18,172.42,65,-1284.4,-10.28,FIXED SL HIT (-35 Pts),44907.15
32,2025-10-20 12:15,2025-10-20 13:15,CE,25800,25898.4,25863.4,217.47,196.2,65,-1382.55,-9.78,FIXED SL HIT (-35 Pts),43524.6
33,2025-10-21 14:15,2025-10-23 09:15,PE,26000,25868.6,25903.6,225.93,204.42,65,-1398.15,-9.52,FIXED SL HIT (-35 Pts),42126.45
34,2025-10-23 09:15,2025-10-23 10:15,CE,26000,26095.9,26060.9,217.12,195.96,65,-1375.4,-9.75,FIXED SL HIT (-35 Pts),40751.05
35,2025-10-23 13:15,2025-10-23 14:15,PE,26100,25958.55,25993.55,232.88,211.03,65,-1420.25,-9.38,FIXED SL HIT (-35 Pts),39330.8
36,2025-10-23 14:15,2025-10-24 09:15,PE,26000,25865.35,25900.35,227.99,206.37,65,-1405.3,-9.48,FIXED SL HIT (-35 Pts),37925.5
37,2025-10-24 13:15,2025-10-24 14:15,PE,25900,25755.4,25790.4,233.82,211.83,65,-1429.35,-9.4,FIXED SL HIT (-35 Pts),36496.15
38,2025-10-27 09:15,2025-10-27 13:15,CE,25900,25961.85,25926.85,195.9,175.95,65,-1296.75,-10.18,FIXED SL HIT (-35 Pts),35199.4
39,2025-10-28 09:15,2025-10-28 12:15,PE,26000,25905.25,25940.25,203.44,183.24,65,-1313.0,-9.93,FIXED SL HIT (-35 Pts),33886.4
40,2025-10-28 12:15,2025-10-28 13:15,CE,25800,25926.35,25891.35,235.33,213.08,65,-1446.25,-9.45,FIXED SL HIT (-35 Pts),32440.15
41,2025-10-30 09:15,2025-10-31 10:15,PE,26100,25959.45,25809.45,232.3,338.84,65,6925.1,45.86,TARGET HIT (+150 Pts),39365.25
42,2025-10-31 10:15,2025-10-31 11:15,PE,25900,25776.75,25811.75,220.26,199.02,65,-1380.6,-9.64,FIXED SL HIT (-35 Pts),37984.65
43,2025-11-04 09:15,2025-11-06 09:15,PE,25800,25698.2,25548.2,206.54,308.02,65,6596.2,49.13,TARGET HIT (+150 Pts),44580.85
44,2025-11-06 09:15,2025-11-06 12:15,PE,25600,25542.75,25577.75,179.54,160.67,65,-1226.55,-10.51,FIXED SL HIT (-35 Pts),43354.3
45,2025-11-06 12:15,2025-11-06 13:15,CE,25500,25583.6,25548.6,206.49,185.73,65,-1349.4,-10.05,FIXED SL HIT (-35 Pts),42004.9
46,2025-11-07 09:15,2025-11-07 10:15,PE,25400,25343.25,25378.25,178.1,159.25,65,-1225.25,-10.58,FIXED SL HIT (-35 Pts),40779.65
47,2025-11-10 09:15,2025-11-11 09:15,CE,25500,25576.0,25541.0,201.88,181.38,65,-1332.5,-10.15,FIXED SL HIT (-35 Pts),39447.15
48,2025-11-11 09:15,2025-11-11 11:15,PE,25600,25501.95,25536.95,203.15,182.79,65,-1323.4,-10.02,FIXED SL HIT (-35 Pts),38123.75
49,2025-11-11 11:15,2025-11-11 14:15,CE,25400,25538.3,25688.3,240.86,351.01,65,7159.75,45.73,TARGET HIT (+150 Pts),45283.5
50,2025-11-12 09:15,2025-11-13 13:15,CE,25700,25839.85,25989.85,243.65,353.68,65,7151.95,45.16,TARGET HIT (+150 Pts),52435.45
51,2025-11-13 13:15,2025-11-13 14:15,PE,26000,25894.45,25929.45,209.93,189.34,65,-1338.35,-9.81,FIXED SL HIT (-35 Pts),51097.1
52,2025-11-14 09:15,2025-11-14 10:15,PE,25900,25780.05,25815.05,218.2,197.09,65,-1372.15,-9.67,FIXED SL HIT (-35 Pts),49724.95
53,2025-11-14 13:15,2025-11-14 14:15,PE,25900,25774.4,25809.4,221.73,200.41,65,-1385.8,-9.62,FIXED SL HIT (-35 Pts),48339.15
54,2025-11-14 14:15,2025-11-18 09:15,CE,25800,25930.2,25895.2,237.85,215.47,65,-1454.7,-9.41,FIXED SL HIT (-35 Pts),46884.45
55,2025-11-18 09:15,2025-11-18 10:15,PE,26000,25895.85,25930.85,209.08,188.54,65,-1335.1,-9.82,FIXED SL HIT (-35 Pts),45549.35
56,2025-11-19 09:15,2025-11-20 09:15,CE,25900,25952.1,26102.1,190.22,288.04,65,6358.3,51.42,TARGET HIT (+150 Pts),51907.65
57,2025-11-20 09:15,2025-11-21 10:15,CE,26000,26099.65,26064.65,219.46,198.17,65,-1383.85,-9.7,FIXED SL HIT (-35 Pts),50523.8
58,2025-11-21 11:15,2025-11-21 14:15,CE,26000,26123.9,26088.9,234.92,212.79,65,-1438.45,-9.42,FIXED SL HIT (-35 Pts),49085.35
59,2025-11-21 14:15,2025-11-24 09:15,PE,26200,26069.35,26104.35,226.56,205.11,65,-1394.25,-9.47,FIXED SL HIT (-35 Pts),47691.1
60,2025-11-24 09:15,2025-11-24 11:15,CE,26000,26128.5,26093.5,237.92,215.63,65,-1448.85,-9.37,FIXED SL HIT (-35 Pts),46242.25
61,2025-11-24 11:15,2025-11-24 15:15,PE,26200,26069.1,25919.1,226.72,331.84,65,6832.8,46.37,TARGET HIT (+150 Pts),53075.05
62,2025-11-25 09:15,2025-11-25 10:15,CE,25900,26018.6,25983.6,230.9,208.93,65,-1428.05,-9.51,FIXED SL HIT (-35 Pts),51647.0
63,2025-11-25 14:15,2025-11-26 09:15,PE,26000,25886.0,25921.0,215.08,194.19,65,-1357.85,-9.71,FIXED SL HIT (-35 Pts),50289.15
64,2025-11-26 09:15,2025-11-27 09:15,CE,26000,26084.5,26234.5,210.09,312.42,65,6651.45,48.71,TARGET HIT (+150 Pts),56940.6
65,2025-11-27 09:15,2025-11-27 11:15,CE,26200,26283.0,26248.0,210.4,189.71,65,-1344.85,-9.83,FIXED SL HIT (-35 Pts),55595.75
66,2025-11-28 09:15,2025-11-28 12:15,CE,26100,26240.4,26205.4,246.36,223.67,65,-1474.85,-9.21,FIXED SL HIT (-35 Pts),54120.9
67,2025-12-01 09:15,2025-12-01 10:15,CE,26200,26284.95,26249.95,211.58,190.83,65,-1348.75,-9.81,FIXED SL HIT (-35 Pts),52772.15
68,2025-12-01 10:15,2025-12-02 09:15,PE,26300,26242.4,26092.4,183.77,278.43,65,6152.9,51.51,TARGET HIT (+150 Pts),58925.05
69,2025-12-02 09:15,2025-12-02 10:15,PE,26200,26058.7,26093.7,233.33,211.5,65,-1418.95,-9.36,FIXED SL HIT (-35 Pts),57506.1
70,2025-12-02 12:15,2025-12-04 10:15,PE,26100,26035.8,26070.8,186.31,167.22,65,-1240.85,-10.25,FIXED SL HIT (-35 Pts),56265.25
71,2025-12-04 14:15,2025-12-05 09:15,CE,25900,26038.6,26003.6,243.99,221.33,65,-1472.9,-9.29,FIXED SL HIT (-35 Pts),54792.35
72,2025-12-05 09:15,2025-12-05 10:15,CE,26000,26078.55,26043.55,206.48,185.93,65,-1335.75,-9.95,FIXED SL HIT (-35 Pts),53456.6
