Trade #,Entry Time,Exit Time,Type,Strike,Entry Spot,Exit Spot,Option Buy Price (RS),Option Sell Price (RS),Qty,Trade PnL (RS),Capital (RS)
1,2025-09-22 09:15,2025-09-22 12:15,PE,25400,25311.45,25301.9,196.36,202.06,65,370.5,15370.5
2,2025-09-22 13:15,2025-09-22 14:15,PE,25400,25276.5,25186.6,217.65,278.05,65,3926.0,19296.5
3,2025-09-22 14:15,2025-09-23 09:15,PE,25300,25195.55,25145.3,205.33,237.18,65,2070.25,21366.75
4,2025-09-23 09:15,2025-09-23 10:15,PE,25300,25150.9,25131.4,233.5,246.44,65,841.1,22207.85
5,2025-09-23 12:15,2025-09-23 13:15,CE,25100,25197.75,25226.6,212.83,231.35,65,1203.8,23411.65
6,2025-09-23 14:15,2025-09-24 09:15,PE,25300,25171.9,25085.55,220.0,278.3,65,3789.5,27201.15
7,2025-09-24 09:15,2025-09-24 10:15,PE,25200,25094.7,25062.9,205.29,225.19,65,1293.5,28494.65
8,2025-09-24 14:15,2025-09-25 09:15,PE,25200,25059.75,25039.9,227.22,240.22,65,845.0,29339.65
9,2025-09-25 09:15,2025-09-25 10:15,PE,25100,25031.7,25034.75,182.89,181.16,65,-112.45,29227.2
10,2025-09-25 11:15,2025-09-25 12:15,PE,25100,24981.5,24994.9,212.87,204.61,65,-536.9,28690.3
11,2025-09-25 14:15,2025-09-26 09:15,PE,25000,24883.3,24794.25,211.19,270.61,65,3862.3,32552.6
12,2025-09-26 09:15,2025-09-26 10:15,PE,24900,24780.5,24798.5,212.39,201.3,65,-720.85,31831.75
13,2025-09-26 13:15,2025-09-26 14:15,PE,24800,24663.55,24664.65,222.59,221.89,65,-45.5,31786.25
14,2025-09-29 09:15,2025-09-29 10:15,CE,24700,24758.4,24756.15,186.48,185.16,65,-85.8,31700.45
15,2025-09-29 11:15,2025-09-29 12:15,PE,24700,24641.7,24641.2,174.94,175.22,65,18.2,31718.65
16,2025-09-29 13:15,2025-09-29 14:15,CE,24600,24723.85,24710.9,226.6,218.18,65,-547.3,31171.35
17,2025-09-29 14:15,2025-09-29 15:15,PE,24700,24639.65,24654.45,176.09,167.88,65,-533.65,30637.7
18,2025-09-30 13:15,2025-09-30 14:15,PE,24700,24623.9,24623.0,185.09,185.61,65,33.8,30671.5
19,2025-10-01 09:15,2025-10-01 10:15,CE,24600,24659.95,24669.5,186.78,192.46,65,369.2,31040.7
20,2025-10-01 14:15,2025-10-03 09:15,CE,24700,24822.5,24818.4,226.3,223.63,65,-173.55,30867.15
21,2025-10-03 09:15,2025-10-03 10:15,PE,24900,24798.35,24807.95,201.39,195.61,65,-375.7,30491.45
22,2025-10-03 14:15,2025-10-06 09:15,CE,24800,24888.5,24937.2,205.25,236.61,65,2038.4,32529.85
23,2025-10-06 09:15,2025-10-06 10:15,CE,24900,24968.9,24981.3,193.94,201.43,65,486.85,33016.7
24,2025-10-07 09:15,2025-10-07 10:15,CE,25100,25183.65,25160.95,204.09,190.45,65,-886.6,32130.1
25,2025-10-07 14:15,2025-10-08 09:15,PE,25200,25091.0,25123.6,207.55,188.12,65,-1262.95,30867.15
26,2025-10-08 09:15,2025-10-08 10:15,CE,25000,25149.55,25117.85,246.1,225.05,65,-1368.25,29498.9
27,2025-10-08 10:15,2025-10-08 11:15,PE,25100,25042.65,25057.6,176.71,168.48,65,-534.95,28963.95
28,2025-10-08 12:15,2025-10-08 13:15,CE,25000,25098.05,25099.35,212.42,213.23,65,52.65,29016.6
29,2025-10-09 10:15,2025-10-09 11:15,CE,25100,25152.55,25146.1,185.54,181.81,65,-242.45,28774.15
30,2025-10-10 09:15,2025-10-10 10:15,CE,25200,25262.45,25275.7,191.95,199.86,65,514.15,29288.3
31,2025-10-13 09:15,2025-10-13 10:15,PE,25300,25199.25,25210.7,203.09,196.24,65,-445.25,28843.05
32,2025-10-14 09:15,2025-10-14 10:15,PE,25300,25196.7,25194.55,204.63,205.94,65,85.15,28928.2
33,2025-10-14 10:15,2025-10-14 11:15,PE,25300,25174.0,25136.95,218.67,242.72,65,1563.25,30491.45
34,2025-10-14 12:15,2025-10-14 13:15,PE,25200,25084.05,25114.55,211.84,193.4,65,-1198.6,29292.85
35,2025-10-14 14:15,2025-10-14 15:15,CE,25000,25144.8,25126.4,242.89,230.63,65,-796.9,28495.95
36,2025-10-15 09:15,2025-10-15 10:15,CE,25200,25251.25,25291.0,185.4,209.23,65,1548.95,30044.9
37,2025-10-15 10:15,2025-10-15 12:15,CE,25200,25292.6,25301.1,210.22,215.54,65,345.8,30390.7
38,2025-10-16 09:15,2025-10-16 10:15,CE,25300,25423.45,25437.6,230.47,239.81,65,607.1,30997.8
